Ni;Ti;Hf;Cv;melting point;electronegativity;atomic radius;ionic radius;atomic mass;wcr;hom.T;hom.time;sht.T;sht.time;ag.T;ag.time;Af;Hysteresis
49.8;40.2;10;0.233;1619;1.7003;0.1372;0.0778;66.342;0.441;950;72;0;0;0;0;191.8;63.7
49.8;42.2;8;0.2411;1607.8;1.7051;0.137;0.0776;63.731;0.435;950;72;0;0;0;0;175.3;64.2
49.8;44.2;6;0.2497;1596.6;1.7099;0.1368;0.0775;61.119;0.428;950;72;0;0;0;0;148.4;57.5
49.8;46.2;4;0.2589;1585.4;1.7147;0.1365;0.0773;58.507;0.421;950;72;0;0;0;0;133.8;48
49.8;48.2;2;0.2689;1574.2;1.7195;0.1363;0.0772;55.895;0.414;950;72;0;0;0;0;121.7;39.1
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;600;3;134;51
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;650;3;153;53
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;700;3;150;60
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;550;3;93;61
51.2;28.8;20;0.2016;1672.1;1.6814;0.1381;0.0786;79.553;0.473;1000;48;900;3;750;3;125;62
50.5;34.5;15;0.2161;1645.6;1.6909;0.1377;0.0782;72.948;0.457;1050;1;0;0;550;3;131;22
50.5;34.5;15;0.2161;1645.6;1.6909;0.1377;0.0782;72.948;0.457;1050;1;0;0;0;0;88;36
50.5;34.5;15;0.2161;1645.6;1.6909;0.1377;0.0782;72.948;0.457;1050;1;0;0;750;3;127;38.8
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;0;0;0;0;54;54
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;900;1;637;11;71;59
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;900;1;605;4;49;66
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;900;1;665;4;53;69
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;900;1;637;1;24;72
51;36.5;12.5;0.2255;1630.5;1.6987;0.1373;0.078;69.737;0.448;1000;4;900;1;637;100;111;77
50;30;20;0.2;1674.7;1.677;0.1384;0.0786;79.423;0.475;0;0;0;0;0;0;331;45
50;33;17;0.209;1657.9;1.6842;0.138;0.0784;75.505;0.465;0;0;0;0;0;0;224.31;44.53
50;36;14;0.2188;1641;1.6914;0.1377;0.0781;71.588;0.455;0;0;0;0;0;0;188.1;56.12
50;39;11;0.2295;1624.2;1.6986;0.1373;0.0779;67.67;0.444;0;0;0;0;0;0;154.45;60.9
50;42;8;0.2414;1607.4;1.7058;0.137;0.0776;63.752;0.434;0;0;0;0;0;0;115;69.42
51;19;30;0.1762;1728.7;1.6567;0.1394;0.0794;92.59;0.507;0;0;1050;2;0;0;522;129
51;24;25;0.188;1700.6;1.6687;0.1388;0.079;86.061;0.49;0;0;1050;2;0;0;186;33
51;29;20;0.2014;1672.6;1.6807;0.1382;0.0786;79.531;0.473;0;0;1050;2;0;0;53;49
51;49;0;0.2817;1560.4;1.7287;0.1358;0.077;53.413;0.405;0;0;1050;2;0;0;2;22
50.7;19.3;30;0.1759;1729.3;1.6556;0.1394;0.0794;92.558;0.508;0;0;1050;2;0;0;620;181
50.7;24.3;25;0.1876;1701.2;1.6676;0.1388;0.079;86.028;0.491;0;0;1050;2;0;0;333;72
50.7;29.3;20;0.201;1673.2;1.6796;0.1382;0.0786;79.499;0.474;0;0;1050;2;0;0;171;28
50.7;34.3;15;0.2164;1645.1;1.6916;0.1376;0.0782;72.969;0.457;0;0;1050;2;0;0;76;50
50.7;39.3;10;0.2344;1617.1;1.7036;0.137;0.0778;66.44;0.44;0;0;1050;2;0;0;45;110
50.7;44.3;5;0.2557;1589;1.7156;0.1364;0.0774;59.91;0.423;0;0;1050;2;0;0;49;58
50.7;49.3;0;0.2812;1561;1.7276;0.1358;0.077;53.381;0.406;0;0;1050;2;0;0;34;28
